Customer ID,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_Score
12492.0,39,22,452.0,3,2,2,322
12494.0,1,38,604.17,5,3,3,533
12495.0,270,19,323.4,1,2,2,122
12496.0,256,13,54.09,1,1,1,111
12497.0,36,44,5168.650000000001,3,3,5,335
12499.0,196,27,393.72,1,2,2,122
12500.0,71,91,1666.04,2,4,4,244
12503.0,220,2,1126.0,1,1,4,114
12504.0,53,11,297.0,3,1,2,312
12505.0,29,46,912.5,4,3,3,433
12507.0,220,28,539.25,1,2,3,123
12510.0,95,121,2706.76,2,4,5,245
12511.0,50,194,3065.77,3,5,5,355
12514.0,277,33,580.08,1,3,3,133
12516.0,66,48,1336.56,3,3,4,334
12519.0,100,24,354.35,2,2,2,222
12523.0,10,155,2475.28,5,5,5,555
12524.0,24,98,6605.64,4,4,5,445
12525.0,127,77,835.1800000000001,2,4,3,243
12527.0,130,14,386.8,2,1,2,212
12529.0,158,23,311.78000000000003,2,2,2,222
12530.0,45,94,2066.23,3,4,5,345
12531.0,316,116,1773.83,1,4,4,144
12533.0,254,90,1149.99,1,4,4,144
12537.0,44,43,732.94,3,3,3,333
12538.0,14,13,276.5,5,1,2,512
12539.0,86,231,5646.400000000001,2,5,5,255
12540.0,14,294,8798.25,5,5,5,555
12542.0,120,45,423.38,2,3,2,232
12543.0,84,43,980.25,2,3,4,234
12547.0,136,13,175.78,2,1,1,211
12549.0,211,49,1575.68,1,3,4,134
12553.0,21,48,896.57,4,3,3,433
12554.0,84,26,468.5,2,2,2,222
12555.0,318,1,129.23,1,1,1,111
12557.0,7,25,6725.18,5,2,5,525
12562.0,21,39,1185.18,4,3,4,434
12563.0,44,13,249.24,3,1,2,312
12567.0,3,195,4278.88,5,5,5,555
12568.0,280,5,70.0,1,1,1,111
12570.0,318,1,77.52,1,1,1,111
12573.0,17,91,556.87,4,4,3,443
12575.0,93,38,622.8199999999999,2,3,3,233
12576.0,28,58,776.89,4,3,3,433
12577.0,17,155,995.9499999999999,4,5,4,454
12578.0,21,61,1819.0900000000001,4,3,4,434
12580.0,212,34,637.2,1,3,3,133
12582.0,58,81,1469.04,3,4,4,344
12583.0,9,220,7157.5599999999995,5,5,5,555
12586.0,4,84,1848.73,5,4,4,544
12588.0,35,38,724.08,4,3,3,433
12589.0,50,177,2447.49,3,5,5,355
12590.0,137,2,-7.9,2,1,1,211
12591.0,26,43,899.3,4,3,3,433
12592.0,155,66,715.02,2,4,3,243
12594.0,14,83,1724.29,5,4,4,544
12595.0,140,19,299.02,2,2,2,222
12598.0,71,78,1411.99,2,4,4,244
12599.0,17,71,1264.14,4,4,4,444
12600.0,7,75,2374.75,5,4,5,545
12601.0,40,6,104.19999999999999,3,1,1,311
12605.0,1,79,1225.45,5,4,4,544
12606.0,318,1,21.0,1,1,1,111
12608.0,40,16,415.79,3,2,2,322
12609.0,10,116,2291.01,5,4,5,545
12613.0,24,184,3372.54,4,5,5,455
12615.0,49,173,3273.69,3,5,5,355
12616.0,18,23,388.1,4,2,2,422
12619.0,196,10,140.14,1,1,1,111
12621.0,1,312,10967.24,5,5,5,555
12623.0,52,158,3334.7400000000002,3,5,5,355
12625.0,145,97,2481.06,2,4,5,245
12629.0,21,45,1558.22,4,3,4,434
12631.0,67,155,2811.77,3,5,5,355
12632.0,156,38,738.88,2,3,3,233
12633.0,18,210,3454.58,4,5,5,455
12634.0,171,20,490.0,2,2,3,223
12635.0,28,78,1241.23,4,4,4,444
12636.0,374,1,141.0,1,1,1,111
12637.0,14,245,2318.41,5,5,5,555
12638.0,275,9,249.8,1,1,2,112
12639.0,70,42,826.27,3,3,3,333
12643.0,21,32,4536.26,4,3,5,435
12644.0,66,92,1337.63,3,4,4,344
12645.0,45,89,1743.72,3,4,4,344
12647.0,3,446,14012.87,5,5,5,555
12648.0,70,45,778.95,3,3,3,333
12649.0,1,91,1634.99,5,4,4,544
12651.0,14,23,251.29999999999998,5,2,2,522
12652.0,70,3,97.05000000000001,3,1,1,311
12653.0,162,43,1950.98,2,3,4,234
12655.0,59,16,261.35,3,2,2,322
12656.0,61,123,2338.06,3,4,5,345
12661.0,72,11,162.0,2,1,1,211
12662.0,9,179,3132.09,5,5,5,555
12663.0,260,11,204.0,1,1,1,111
12664.0,150,8,1188.16,2,1,4,214
12665.0,53,17,239.7,3,2,2,322
12666.0,30,31,1248.42,4,2,4,424
12668.0,14,378,7637.53,5,5,5,555
12670.0,21,23,764.24,4,2,3,423
12671.0,242,45,2622.481,1,3,5,135
12672.0,225,15,184.6,1,2,1,121
12673.0,37,32,619.5,3,3,3,333
12675.0,189,115,934.8,1,4,3,143
12676.0,44,63,1441.7,3,4,4,344
12677.0,191,23,389.3,1,2,2,122
12678.0,11,214,16262.87,5,5,5,555
12681.0,3,848,16874.17,5,5,5,555
12682.0,1,517,11657.59,5,5,5,555
12683.0,1,199,4197.51,5,5,5,555
12686.0,7,7,89.14,5,1,1,511
12687.0,116,126,2138.91,2,4,5,245
12691.0,56,7,134.6,3,1,1,311
12692.0,273,13,110.95,1,1,1,111
12693.0,32,42,809.46,4,3,3,433
12694.0,51,47,969.78,3,3,4,334
12695.0,164,32,825.02,2,3,3,233
12696.0,70,50,801.15,3,3,3,333
12698.0,226,16,339.75,1,2,2,122
12699.0,53,41,638.11,3,3,3,333
12701.0,165,94,1648.7,2,4,4,244
12703.0,269,62,617.48,1,4,3,143
12705.0,10,278,4739.76,5,5,5,555
12706.0,318,1,-91.89,1,1,1,111
12708.0,4,162,2501.84,5,5,5,555
12709.0,2,331,21018.51,5,5,5,555
12711.0,247,60,1339.05,1,3,4,134
12712.0,1,152,2738.03,5,5,5,555
12714.0,24,437,9384.85,4,5,5,455
12717.0,226,16,277.93,1,2,2,122
12720.0,5,174,2334.6,5,5,5,555
12721.0,1,90,1277.7,5,4,4,544
12724.0,19,76,1286.11,4,4,4,444
12725.0,7,106,2266.76,5,4,5,545
12726.0,23,55,1405.5,4,3,4,434
12727.0,78,64,1698.8300000000002,2,4,4,244
12728.0,19,15,233.84,4,2,2,422
12730.0,157,47,829.25,2,3,3,233
12731.0,78,119,6879.8,2,4,5,245
12733.0,25,140,1942.87,4,5,4,454
12734.0,10,15,529.25,5,2,3,523
12737.0,134,2,3710.5,2,1,5,215
12738.0,8,11,155.35,5,1,1,511
12739.0,21,51,1713.69,4,3,4,434
12741.0,165,16,406.07,2,2,2,222
12742.0,235,68,1185.02,1,4,4,144
12744.0,95,117,4037.77,2,4,5,245
12745.0,122,23,925.41,2,2,3,223
12746.0,163,20,230.85000000000002,2,2,2,222
12747.0,5,162,4968.58,5,5,5,555
12748.0,1,2665,20898.03,5,5,5,555
12749.0,21,167,2460.29,4,5,5,455
12751.0,80,62,268.27,2,4,2,242
12755.0,1,111,4203.15,5,4,5,545
12758.0,95,220,6987.41,2,5,5,255
12759.0,22,207,3489.3,4,5,5,455
12760.0,91,21,347.8,2,2,2,222
12761.0,93,27,782.95,2,2,3,223
12763.0,5,16,320.08,5,2,2,522
12765.0,108,68,1404.58,2,4,4,244
12766.0,2,149,3036.8,5,5,5,555
12767.0,11,43,949.82,5,3,4,534
12768.0,67,20,3.552713678800501e-15,3,2,1,321
12770.0,35,25,1624.5,4,2,4,424
12771.0,100,16,262.5,2,2,2,222
12773.0,200,12,1.7763568394002505e-15,1,1,1,111
12774.0,171,6,98.7,2,1,1,211
12775.0,24,15,300.08,4,2,2,422
12776.0,303,4,55.5,1,1,1,111
12777.0,93,26,519.45,2,2,3,223
12778.0,32,64,953.45,4,4,4,444
12779.0,7,136,2538.06,5,5,5,555
12780.0,234,20,337.4,1,2,2,122
12782.0,10,134,2252.7200000000003,5,5,5,555
12784.0,165,72,1230.33,2,4,4,244
12785.0,171,43,773.6,2,3,3,233
12786.0,245,18,728.5,1,2,3,123
12787.0,49,25,395.52,3,2,2,322
12788.0,99,26,444.9,2,2,2,222
12789.0,148,4,181.5,2,1,1,211
12790.0,43,19,238.53,3,2,2,322
12791.0,9,30,585.15,5,2,3,523
12792.0,170,23,413.34,2,2,2,222
12793.0,7,27,471.85,5,2,3,523
12796.0,264,7,381.0,1,1,2,112
12797.0,1,32,531.28,5,3,3,533
12798.0,57,25,1533.8899999999999,3,2,4,324
12799.0,165,15,219.35,2,2,1,221
12800.0,106,34,584.25,2,3,3,233
12801.0,113,51,1031.87,2,3,4,234
12802.0,78,114,1937.84,2,4,4,244
12803.0,29,55,1092.81,4,3,4,434
12804.0,101,67,327.02,2,4,2,242
12805.0,17,58,1434.95,4,3,4,434
12806.0,71,67,2878.96,2,4,5,245
12807.0,18,18,269.95,4,2,2,422
12808.0,4,26,422.45,5,2,2,522
12809.0,189,63,1220.98,1,4,4,144
12810.0,170,32,534.99,2,3,3,233
12811.0,14,25,519.05,5,2,3,523
12813.0,137,45,1687.8,2,3,4,234
12817.0,35,21,524.94,4,2,3,423
12819.0,94,19,540.52,2,2,3,223
12820.0,33,104,1705.6,4,4,4,444
12821.0,247,7,128.07999999999998,1,1,1,111
12823.0,30,13,4742.0,4,1,5,415
12825.0,157,24,518.63,2,2,3,223
12826.0,1,77,1460.57,5,4,4,544
12829.0,186,8,92.30000000000001,1,1,1,111
12831.0,99,13,236.06,2,1,2,212
12835.0,54,630,6018.67,3,5,5,355
12836.0,25,243,3933.61,4,5,5,455
12837.0,205,80,554.31,1,4,3,143
12838.0,9,304,2692.9,5,5,5,555
12839.0,3,270,4344.21,5,5,5,555
12840.0,73,65,1299.6,2,4,4,244
12841.0,5,283,3514.08,5,5,5,555
12842.0,40,14,799.0,3,1,3,313
12843.0,18,122,4664.85,4,4,5,445
12844.0,78,51,322.64,2,3,2,232
12846.0,318,1,15.58,1,1,1,111
12847.0,23,35,765.36,4,3,3,433
12848.0,311,16,208.0,1,2,1,121
12849.0,17,97,2039.67,4,4,4,444
12850.0,81,2,330.0,2,1,2,212
12851.0,113,30,148.95,2,2,1,221
12853.0,57,73,1846.8,3,4,4,344
12854.0,197,160,1633.22,1,5,4,154
12855.0,8,67,612.84,5,4,3,543
12857.0,72,76,2577.85,2,4,5,245
12858.0,19,50,151.73,4,3,1,431
12859.0,94,21,575.1,2,2,3,223
12860.0,329,17,55.47,1,2,1,121
12861.0,255,4,68.25,1,1,1,111
12862.0,61,133,1008.3199999999999,3,5,4,354
12863.0,15,43,2271.35,5,3,5,535
12864.0,144,4,152.45,2,1,1,211
12865.0,14,100,1755.24,5,4,4,544
12866.0,110,37,668.23,2,3,3,233
12867.0,33,525,3876.47,4,5,5,455
12868.0,9,39,640.0,5,3,3,533
12869.0,317,37,337.66999999999996,1,3,2,132
12870.0,2,95,1662.05,5,4,4,544
12871.0,75,7,363.38,2,1,2,212
12872.0,1,372,3078.37,5,5,5,555
12873.0,33,31,1653.3,4,2,4,424
12874.0,21,49,933.42,4,3,3,433
12875.0,107,6,1013.76,2,1,4,214
12876.0,30,86,1850.5700000000002,4,4,4,444
12877.0,37,123,1419.4,3,4,4,344
12880.0,17,36,640.13,4,3,3,433
12887.0,19,13,222.4,4,1,1,411
12889.0,17,27,365.66,4,2,2,422
12890.0,23,57,336.8,4,3,2,432
12891.0,94,9,488.5,2,1,3,213
12892.0,32,18,263.38,4,2,2,422
12894.0,211,21,157.35,1,2,1,121
12896.0,366,1,-29.75,1,1,1,111
12897.0,17,10,297.75,4,1,2,412
12898.0,99,32,310.96000000000004,2,3,2,232
12899.0,49,17,366.4,3,2,2,322
12900.0,58,13,340.33,3,1,2,312
12903.0,64,41,833.53,3,3,3,333
12905.0,212,55,1011.82,1,3,4,134
12907.0,31,29,440.36,4,2,2,422
12908.0,16,3,1026.0,4,1,4,414
12909.0,58,72,905.94,3,4,3,343
12910.0,15,63,2671.98,5,4,5,545
12911.0,187,248,1680.47,1,5,4,154
12913.0,4,46,4217.2300000000005,5,3,5,535
12914.0,36,9,223.98,3,1,1,311
12915.0,8,59,721.2,5,3,3,533
12916.0,78,77,1647.87,2,4,4,244
12917.0,36,51,3735.5,3,3,5,335
12918.0,262,3,-10953.5,1,1,1,111
12920.0,207,32,323.86,1,3,2,132
12921.0,2,871,18249.71,5,5,5,555
12923.0,26,33,612.9,4,3,3,433
12924.0,28,45,1493.2,4,3,4,434
12925.0,228,5,35.28,1,1,1,111
12926.0,47,274,1548.46,3,5,4,354
12927.0,30,11,197.31,4,1,1,411
12928.0,14,95,2242.19,5,4,5,545
12931.0,16,180,37836.86,4,5,5,455
12932.0,175,95,1698.56,2,4,4,244
12933.0,16,193,1021.0,4,5,4,454
12934.0,372,2,181.65,1,1,1,111
12935.0,10,130,2025.56,5,5,4,554
12937.0,99,97,1593.34,2,4,4,244
12939.0,15,39,13683.0,5,3,5,535
12941.0,360,27,377.49,1,2,2,122
12942.0,1,16,258.75,5,2,2,522
12943.0,29,26,492.75,4,2,3,423
12945.0,292,28,437.16,1,2,2,122
12946.0,72,20,324.45,2,2,2,222
12947.0,9,17,304.04,5,2,2,522
12948.0,366,9,252.48000000000002,1,1,2,112
12949.0,18,506,11247.98,4,5,5,455
12951.0,10,136,2122.35,5,5,5,555
12953.0,158,31,498.96000000000004,2,2,3,223
12954.0,274,10,162.45,1,1,1,111
12956.0,320,23,413.82,1,2,2,122
12957.0,177,256,4649.38,2,5,5,255
12958.0,36,57,539.49,3,3,3,333
12959.0,120,9,133.35,2,1,1,211
12960.0,49,70,1322.07,3,4,4,344
12961.0,15,40,211.99,5,3,1,531
12963.0,1,101,1671.76,5,4,4,544
12964.0,73,26,132.24,2,2,1,221
12967.0,7,61,2646.02,5,3,5,535
12969.0,238,5,122.45,1,1,1,111
12970.0,16,232,1072.73,4,5,4,454
12971.0,2,121,4552.4800000000005,5,4,5,545
12972.0,49,85,1115.95,3,4,4,344
12973.0,49,6,385.55,3,1,2,312
12974.0,201,24,264.15,1,2,2,122
12975.0,66,118,1993.99,3,4,4,344
12976.0,14,132,2417.7799999999997,5,5,5,555
12977.0,137,50,478.39,2,3,3,233
12978.0,21,164,2496.07,4,5,5,455
12979.0,365,57,479.53999999999996,1,3,3,133
12980.0,15,35,8817.33,5,3,5,535
12982.0,24,180,2184.92,4,5,5,455
12983.0,234,30,490.08000000000004,1,2,3,123
12986.0,38,142,1991.5900000000001,3,5,4,354
12987.0,56,38,753.51,3,3,3,333
12989.0,60,37,5992.29,3,3,5,335
12990.0,53,14,546.0,3,1,3,313
12991.0,25,14,261.06,4,1,2,412
12992.0,361,6,93.35000000000001,1,1,1,111
12993.0,59,55,776.5,3,3,3,333
12996.0,11,22,355.5,5,2,2,522
12997.0,24,54,867.1700000000001,4,3,3,433
12998.0,128,61,897.38,2,3,3,233
13000.0,206,34,430.15000000000003,1,3,2,132
13001.0,40,689,14338.130000000001,3,5,5,355
13002.0,52,16,293.18,3,2,2,322
13004.0,22,448,5530.56,4,5,5,455
13005.0,63,31,466.08,3,2,2,322
13007.0,215,11,175.25,1,1,1,111
13008.0,33,24,364.81,4,2,2,422
13009.0,308,4,234.0,1,1,2,112
13010.0,10,12,330.12,5,1,2,512
13011.0,8,3,50.550000000000004,5,1,1,511
13012.0,65,68,1279.56,3,4,4,344
13013.0,7,335,7814.83,5,5,5,555
13014.0,63,118,1855.4,3,4,4,344
13015.0,64,183,3119.44,3,5,5,355
13018.0,37,147,2470.06,3,5,5,355
13019.0,15,57,1212.95,5,3,4,534
13020.0,184,42,606.96,1,3,3,133
13021.0,1,132,2201.98,5,5,5,555
13022.0,65,5,65.3,3,1,1,311
13023.0,164,36,759.13,2,3,3,233
13024.0,100,34,535.42,2,3,3,233
13025.0,367,13,323.39,1,1,2,112
13026.0,124,43,753.97,2,3,3,233
13027.0,21,64,10236.0,4,4,5,445
13029.0,10,7,679.8,5,1,3,513
13030.0,4,60,427.74,5,3,2,532
13031.0,43,435,3419.27,3,5,5,355
13032.0,28,144,1821.07,4,5,4,454
13033.0,65,2,30.0,3,1,1,311
13034.0,5,18,279.91,5,2,2,522
13035.0,67,15,442.32,3,2,2,322
13036.0,320,6,307.1,1,1,2,112
13037.0,35,193,2961.48,4,5,5,455
13039.0,220,55,1010.73,1,3,4,134
13041.0,86,35,799.13,2,3,3,233
13042.0,220,200,1522.79,1,5,4,154
13044.0,128,388,4263.7300000000005,2,5,5,255
13045.0,37,27,503.64,3,2,3,323
13046.0,92,21,319.94,2,2,2,222
13047.0,9,246,5387.62,5,5,5,555
13048.0,72,136,2229.25,2,5,5,255
13049.0,25,14,727.46,4,1,3,413
13050.0,2,625,6137.83,5,5,5,555
13051.0,214,4,155.8,1,1,1,111
13052.0,56,235,2820.38,3,5,5,355
13053.0,257,17,127.65,1,2,1,121
13054.0,318,1,-14.0,1,1,1,111
13055.0,45,80,1090.55,3,4,4,344
13056.0,187,19,209.48,1,2,1,121
13057.0,166,43,540.74,2,3,3,233
13059.0,49,197,2089.22,3,5,5,355
13063.0,116,12,188.4,2,1,1,211
13064.0,186,25,561.25,1,2,3,123
13065.0,9,63,1050.1000000000001,5,4,4,544
13067.0,45,17,393.05,3,2,2,322
13069.0,5,693,5029.650000000001,5,5,5,555
13070.0,95,26,515.1,2,2,3,223
13071.0,248,12,129.22,1,1,1,111
13073.0,47,27,418.08,3,2,2,322
13074.0,147,30,1362.8400000000001,2,2,4,224
13076.0,93,9,135.4,2,1,1,211
13077.0,2,242,2310.9,5,5,5,555
13078.0,2,475,16451.55,5,5,5,555
13079.0,53,11,199.08,3,1,1,311
13080.0,37,14,202.75,3,1,1,311
13081.0,7,1369,30363.670000000002,5,5,5,555
13082.0,60,59,3673.44,3,3,5,335
13083.0,61,4,91.67999999999999,3,1,1,311
13084.0,123,4,116.44999999999999,2,1,1,211
13085.0,56,63,1187.08,3,4,4,344
13086.0,18,47,439.33000000000004,4,3,2,432
13087.0,362,15,313.64,1,2,2,122
13088.0,53,20,236.11,3,2,2,322
13089.0,4,1581,55828.31,5,5,5,555
13090.0,1,130,5081.89,5,5,5,555
13091.0,365,98,-450.03999999999996,1,4,1,141
13092.0,50,89,1547.5,3,4,4,344
13093.0,9,941,46332.26,5,5,5,555
13094.0,4,8,505.8,5,1,3,513
13096.0,30,1,419.70000000000005,4,1,2,412
13097.0,24,605,6968.41,4,5,5,455
13100.0,260,1,-1598.67,1,1,1,111
13101.0,134,43,594.21,2,3,3,233
13102.0,1,192,5103.83,5,5,5,555
13103.0,73,25,465.70000000000005,2,2,2,222
13104.0,51,10,610.62,3,1,3,313
13105.0,72,1,72.0,2,1,1,211
13106.0,49,15,526.96,3,2,3,323
13107.0,45,129,3585.55,3,5,5,355
13108.0,8,35,748.46,5,3,3,533
13109.0,185,24,340.74,1,2,2,122
13110.0,73,108,1443.3000000000002,2,4,4,244
13111.0,354,12,321.88000000000005,1,1,2,112
13112.0,177,5,-5.44,2,1,1,211
13113.0,2,218,6090.25,5,5,5,555
13114.0,366,16,234.38,1,2,2,122
13115.0,2,199,3168.82,5,5,5,555
13117.0,1,113,1657.2,5,4,4,544
13118.0,12,70,1209.1,5,4,4,544
13119.0,304,11,134.9,1,1,1,111
13123.0,108,45,506.75,2,3,3,233
13124.0,21,63,916.12,4,4,3,443
13125.0,159,21,158.57,2,2,1,221
13126.0,2,118,1846.18,5,4,4,544
13128.0,267,1,263.5,1,1,2,112
13129.0,88,11,233.25,2,1,2,212
13131.0,54,105,2240.47,3,4,5,345
13133.0,95,5,90.65,2,1,1,211
13134.0,38,23,681.65,3,2,3,323
13135.0,127,17,275.45,2,2,2,222
13136.0,1,206,3532.42,5,5,5,555
13137.0,22,737,4062.29,4,5,5,455
13138.0,8,37,492.1,5,3,3,533
13139.0,73,95,3138.04,2,4,5,245
13140.0,2,76,791.96,5,4,3,543
13141.0,21,295,5150.83,4,5,5,455
13143.0,218,24,399.2,1,2,2,122
13144.0,67,3,24.4,3,1,1,311
13145.0,8,4,805.0,5,1,3,513
13148.0,25,494,4775.12,4,5,5,455
13150.0,106,9,435.02,2,1,2,212
13151.0,261,107,1261.32,1,4,4,144
13152.0,53,138,2114.98,3,5,5,355
13154.0,35,96,1609.29,4,4,4,444
13155.0,4,79,778.42,5,4,3,543
13156.0,21,104,1586.54,4,4,4,444
13157.0,45,164,3946.14,3,5,5,355
13158.0,24,21,307.12,4,2,2,422
13161.0,136,26,366.13,2,2,2,222
13162.0,16,161,7471.95,4,5,5,455
13163.0,246,4,0.0,1,1,1,111
13164.0,205,12,297.46000000000004,1,1,2,112
13165.0,49,7,429.68,3,1,2,312
13166.0,50,28,466.98,3,2,2,322
13167.0,26,16,333.82,4,2,2,422
13168.0,178,49,556.12,1,3,3,133
13169.0,198,5,127.2,1,1,1,111
13172.0,36,1,69.6,3,1,1,311
13173.0,3,209,2266.85,5,5,5,555
13174.0,5,818,6677.81,5,5,5,555
13175.0,190,51,793.1,1,3,3,133
13177.0,66,13,229.75,3,1,1,311
13178.0,33,431,8272.42,4,5,5,455
13179.0,254,34,572.3100000000001,1,3,3,133
13180.0,243,4,86.10000000000001,1,1,1,111
13181.0,17,19,359.69,4,2,2,422
13183.0,30,67,3053.1,4,4,5,445
13187.0,260,28,112.28999999999999,1,2,1,121
13190.0,180,18,518.76,1,2,3,123
13191.0,294,59,164.69,1,3,1,131
13192.0,154,102,1632.59,2,4,4,244
13194.0,57,7,412.08,3,1,2,312
13195.0,50,52,172.38,3,3,1,331
13196.0,79,80,1261.86,2,4,4,244
13197.0,245,19,373.01000000000005,1,2,2,122
13198.0,21,93,1528.19,4,4,4,444
13199.0,2,89,6601.02,5,4,5,545
13201.0,138,88,1240.6100000000001,2,4,4,244
13202.0,14,70,1571.35,5,4,4,544
13203.0,22,113,1761.09,4,4,4,444
13204.0,367,57,966.6600000000001,1,3,4,134
13205.0,79,1,2803.2,2,1,5,215
13206.0,36,584,8280.13,3,5,5,355
13207.0,87,5,285.6,2,1,2,212
13208.0,85,105,764.6,2,4,3,243
13209.0,150,45,2617.9,2,3,5,235
13211.0,17,153,1509.45,4,5,4,454
13213.0,14,117,2316.19,5,4,5,545
13214.0,53,229,3264.23,3,5,5,355
13215.0,38,1,81.6,3,1,1,311
13217.0,291,1,132.5,1,1,1,111
13219.0,254,11,76.23,1,1,1,111
13220.0,211,32,516.8,1,3,3,133
13222.0,213,1,88.5,1,1,1,111
13223.0,59,8,805.9200000000001,3,1,3,313
13225.0,57,93,9796.23,3,4,5,345
13226.0,29,12,204.25,4,1,1,411
13230.0,1,728,3553.81,5,5,5,555
13231.0,182,1,-355.2,1,1,1,111
13233.0,56,33,571.34,3,3,3,333
13234.0,308,63,356.95,1,4,2,142
13237.0,23,24,643.0,4,2,3,423
13238.0,66,16,305.9,3,2,2,322
13239.0,73,73,1250.28,2,4,4,244
13240.0,1,165,997.52,5,5,4,554
13241.0,47,42,115.58,3,3,1,331
13242.0,87,22,429.0,2,2,2,222
13243.0,85,162,677.97,2,5,3,253
13245.0,68,29,558.72,3,2,3,323
13246.0,29,242,1355.58,4,5,4,454
13249.0,37,12,897.52,3,1,3,313
13250.0,88,21,248.54000000000002,2,2,2,222
13251.0,38,25,252.68,3,2,2,322
13252.0,30,22,341.3,4,2,2,422
13253.0,66,39,1920.71,3,3,4,334
13254.0,12,4,51.410000000000004,5,1,1,511
