Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country,Revenue
489676,21107,CREAM SLICE FLANNEL PINK SPOT ,120,2009-12-02 09:49:00,2.55,13777.0,United Kingdom,306.0
489676,85220,SMALL FAIRY CAKE FRIDGE MAGNETS,240,2009-12-02 09:49:00,1.45,13777.0,United Kingdom,348.0
489702,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,280,2009-12-02 10:52:00,2.55,17511.0,United Kingdom,714.0
489726,21428,SET3 BOOK BOX GREEN GINGHAM FLOWER ,200,2009-12-02 11:07:00,3.75,17949.0,United Kingdom,750.0
489727,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,450,2009-12-02 11:09:00,2.0,17949.0,United Kingdom,900.0
489748,84078A,SET/4 WHITE RETRO STORAGE CUBES ,12,2009-12-02 11:26:00,34.95,12980.0,United Kingdom,419.40000000000003
489812,90035B,"""PEARL & SHELL 42""""NECKL. PINK""",36,2009-12-02 13:00:00,8.49,17377.0,United Kingdom,305.64
489831,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,480,2009-12-02 13:58:00,2.1,12435.0,Denmark,1008.0
489835,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,200,2009-12-02 14:15:00,2.55,15061.0,United Kingdom,509.99999999999994
489862,79323P,PINK CHERRY LIGHTS,72,2009-12-02 14:52:00,5.45,17809.0,United Kingdom,392.40000000000003
489889,22294,HEART FILIGREE DOVE  SMALL,288,2009-12-02 16:52:00,1.06,14646.0,Netherlands,305.28000000000003
489889,85123A,WHITE HANGING HEART T-LIGHT HOLDER,480,2009-12-02 16:52:00,2.55,14646.0,Netherlands,1224.0
489890,22149,FELTCRAFT 6 FLOWER FRIENDS,160,2009-12-02 16:53:00,2.1,14646.0,Netherlands,336.0
489890,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,144,2009-12-02 16:53:00,2.75,14646.0,Netherlands,396.0
489996,21666, RIDGED GLASS T-LIGHT HOLDER,504,2009-12-03 11:10:00,0.55,17209.0,United Kingdom,277.20000000000005
490010,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,480,2009-12-03 12:15:00,2.1,15061.0,United Kingdom,1008.0
490018,21981,PACK OF 12 WOODLAND TISSUES ,4320,2009-12-03 12:31:00,0.25,17940.0,United Kingdom,1080.0
490018,21967,PACK OF 12 SKULL TISSUES,5184,2009-12-03 12:31:00,0.25,17940.0,United Kingdom,1296.0
490018,21984,PACK OF 12 PINK PAISLEY TISSUES ,4008,2009-12-03 12:31:00,0.25,17940.0,United Kingdom,1002.0
490018,21980,PACK OF 12 RED SPOTTY TISSUES ,4008,2009-12-03 12:31:00,0.25,17940.0,United Kingdom,1002.0
490059,15056BL,EDWARDIAN PARASOL BLACK,600,2009-12-03 13:30:00,3.0,18102.0,United Kingdom,1800.0
490059,20679,EDWARDIAN PARASOL RED,600,2009-12-03 13:30:00,3.0,18102.0,United Kingdom,1800.0
490059,85014B,RED/WHITE DOTS RUFFLED UMBRELLA,576,2009-12-03 13:30:00,3.0,18102.0,United Kingdom,1728.0
490059,85014A,BLACK/BLUE DOTS RUFFLED UMBRELLA,576,2009-12-03 13:30:00,3.0,18102.0,United Kingdom,1728.0
490059,85014D,PINK/BROWN DOTS RUFFLED UMBRELLA,576,2009-12-03 13:30:00,3.0,18102.0,United Kingdom,1728.0
490059,85014C,BLUE/BROWN DOTS RUFFLED UMBRELLA,192,2009-12-03 13:30:00,3.0,18102.0,United Kingdom,576.0
490059,15059A,ENGLISH ROSE EDWARDIAN PARASOL,505,2009-12-03 13:30:00,3.0,18102.0,United Kingdom,1515.0
490059,15056P,EDWARDIAN PARASOL PINK,600,2009-12-03 13:30:00,3.0,18102.0,United Kingdom,1800.0
490059,15056N,EDWARDIAN PARASOL NATURAL,600,2009-12-03 13:30:00,3.0,18102.0,United Kingdom,1800.0
490061,84912B,GREEN ROSE WASHBAG,600,2009-12-03 13:42:00,2.0,18102.0,United Kingdom,1200.0
490061,84912A,PINK ROSE WASHBAG,600,2009-12-03 13:42:00,2.0,18102.0,United Kingdom,1200.0
490061,84922,PINK BUTTERFLY WASHBAG,300,2009-12-03 13:42:00,2.0,18102.0,United Kingdom,600.0
490061,21000,ROSE DU SUD COSMETICS BAG,500,2009-12-03 13:42:00,2.0,18102.0,United Kingdom,1000.0
490065,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,600,2009-12-03 13:58:00,2.1,15061.0,United Kingdom,1260.0
490086,21314,SMALL GLASS HEART TRINKET POT,432,2009-12-03 15:48:00,1.85,17949.0,United Kingdom,799.2
490089,21314,SMALL GLASS HEART TRINKET POT,252,2009-12-03 15:52:00,1.85,17949.0,United Kingdom,466.20000000000005
490091,20971,PINK BLUE FELT CRAFT TRINKET BOX,600,2009-12-03 15:54:00,1.06,17949.0,United Kingdom,636.0
490094,72045D,ROSES ON BLUE TEACUP CANDLE ,504,2009-12-03 15:56:00,1.69,17949.0,United Kingdom,851.76
490142,15056BL,EDWARDIAN PARASOL BLACK,60,2009-12-04 08:36:00,4.95,14258.0,United Kingdom,297.0
490209,22200,FRYING PAN PINK POLKADOT ,72,2009-12-04 12:06:00,4.25,17389.0,United Kingdom,306.0
490324,72753A,S/3 FLWR FAIRY LILLY CANDLES,160,2009-12-04 15:27:00,2.1,13694.0,United Kingdom,336.0
490324,72753B,S/3 FLWR FAIRY LAVENDER CANDLES,160,2009-12-04 15:27:00,2.1,13694.0,United Kingdom,336.0
490327,85099C,JUMBO  BAG BAROQUE BLACK WHITE,300,2009-12-04 15:29:00,1.65,13694.0,United Kingdom,495.0
490327,85099B,JUMBO BAG RED WHITE SPOTTY ,300,2009-12-04 15:29:00,1.65,13694.0,United Kingdom,495.0
490671,82001S,VINYL RECORD FRAME SILVER,144,2009-12-07 12:56:00,3.39,16684.0,United Kingdom,488.16
490672,22350,CAT BOWL ,216,2009-12-07 12:58:00,2.1,16684.0,United Kingdom,453.6
490691,79321,CHILLI LIGHTS,72,2009-12-07 13:56:00,4.25,16353.0,United Kingdom,306.0
490751,20679,EDWARDIAN PARASOL RED,60,2009-12-08 07:59:00,4.95,12358.0,Austria,297.0
490751,15056BL,EDWARDIAN PARASOL BLACK,60,2009-12-08 07:59:00,4.95,12358.0,Austria,297.0
490751,15056N,EDWARDIAN PARASOL NATURAL,60,2009-12-08 07:59:00,4.95,12358.0,Austria,297.0
490763,85123A,WHITE HANGING HEART T-LIGHT HOLDER,400,2009-12-08 10:24:00,2.55,16013.0,United Kingdom,1019.9999999999999
490785,85123A,WHITE HANGING HEART T-LIGHT HOLDER,936,2009-12-08 11:23:00,2.55,16029.0,United Kingdom,2386.7999999999997
490801,85099C,JUMBO  BAG BAROQUE BLACK WHITE,200,2009-12-08 12:03:00,1.65,16029.0,United Kingdom,330.0
490801,85099B,JUMBO BAG RED WHITE SPOTTY ,200,2009-12-08 12:03:00,1.65,16029.0,United Kingdom,330.0
490933,84968E,S/16 VINTAGE BLACK CUTLERY,72,2009-12-08 13:46:00,10.95,14063.0,United Kingdom,788.4
490933,84968D,S/16 VINTAGE RED CUTLERY,72,2009-12-08 13:46:00,10.95,14063.0,United Kingdom,788.4
490956,72807B,SET/3 OCEAN SCENT CANDLE JEWEL BOX,96,2009-12-08 15:10:00,3.81,15413.0,United Kingdom,365.76
490956,72807C,SET/3 VANILLA SCENTED CANDLE IN BOX,96,2009-12-08 15:10:00,3.81,15413.0,United Kingdom,365.76
490956,79323S, SILVER CHERRY LIGHTS,144,2009-12-08 15:10:00,5.45,15413.0,United Kingdom,784.8000000000001
490956,79341,WILLOW BRANCH LIGHTS.,96,2009-12-08 15:10:00,5.45,15413.0,United Kingdom,523.2
490962,84879,ASSORTED COLOUR BIRD ORNAMENT,160,2009-12-08 15:45:00,1.69,15061.0,United Kingdom,270.4
491025,21137,BLACK RECORD COVER FRAME,96,2009-12-08 19:02:00,3.39,17157.0,United Kingdom,325.44
491056,79323W, WHITE CHERRY LIGHTS,48,2009-12-09 11:01:00,5.45,17428.0,United Kingdom,261.6
491104,15056N,EDWARDIAN PARASOL NATURAL,60,2009-12-09 14:22:00,4.95,12917.0,United Kingdom,297.0
491104,15056P,EDWARDIAN PARASOL PINK,60,2009-12-09 14:22:00,4.95,12917.0,United Kingdom,297.0
491125,21041,RED SPOTTY OVEN GLOVE DOUBLE,120,2009-12-09 15:28:00,2.55,15311.0,United Kingdom,306.0
491133,16014,SMALL CHINESE STYLE SCISSOR,1500,2009-12-09 16:17:00,0.32,13848.0,United Kingdom,480.0
491143,37503,TEA TIME CAKE STAND IN GIFT BOX,36,2009-12-09 16:50:00,9.45,16029.0,United Kingdom,340.2
491148,84946,ANTIQUE SILVER TEA GLASS ETCHED,288,2009-12-10 07:43:00,1.06,15061.0,United Kingdom,305.28000000000003
491148,84879,ASSORTED COLOUR BIRD ORNAMENT,320,2009-12-10 07:43:00,1.69,15061.0,United Kingdom,540.8
491148,48187,DOOR MAT NEW ENGLAND,70,2009-12-10 07:43:00,5.95,15061.0,United Kingdom,416.5
491148,48116,DOOR MAT MULTICOLOUR STRIPE,70,2009-12-10 07:43:00,5.95,15061.0,United Kingdom,416.5
491148,21843,RETRO SPOT CAKE STAND,48,2009-12-10 07:43:00,9.95,15061.0,United Kingdom,477.59999999999997
491148,20685,RED SPOTTY COIR DOORMAT,50,2009-12-10 07:43:00,5.95,15061.0,United Kingdom,297.5
491176,M,Manual,1,2009-12-10 11:50:00,1213.02,13091.0,United Kingdom,1213.02
491181,15056BL,EDWARDIAN PARASOL BLACK,60,2009-12-10 12:08:00,4.95,15854.0,United Kingdom,297.0
491314,85099C,JUMBO  BAG BAROQUE BLACK WHITE,200,2009-12-10 15:27:00,1.65,15032.0,United Kingdom,330.0
491314,21928,JUMBO BAG SCANDINAVIAN PAISLEY,200,2009-12-10 15:27:00,1.65,15032.0,United Kingdom,330.0
491314,85099B,JUMBO BAG RED WHITE SPOTTY ,200,2009-12-10 15:27:00,1.65,15032.0,United Kingdom,330.0
491314,85099F,JUMBO BAG STRAWBERRY,200,2009-12-10 15:27:00,1.65,15032.0,United Kingdom,330.0
491431,20713,JUMBO BAG OWLS,200,2009-12-11 09:58:00,1.65,15769.0,United Kingdom,330.0
491431,85099B,JUMBO BAG RED WHITE SPOTTY ,400,2009-12-11 09:58:00,1.65,15769.0,United Kingdom,660.0
491431,85099C,JUMBO  BAG BAROQUE BLACK WHITE,200,2009-12-11 09:58:00,1.65,15769.0,United Kingdom,330.0
491439,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,120,2009-12-11 10:31:00,2.55,15291.0,United Kingdom,306.0
491440,72756,FAIRY CAKE CANDLES,1080,2009-12-11 10:31:00,1.25,16029.0,United Kingdom,1350.0
491456,85014C,BLUE/BROWN DOTS RUFFLED UMBRELLA,144,2009-12-11 11:22:00,3.0,18102.0,United Kingdom,432.0
491456,85014D,PINK/BROWN DOTS RUFFLED UMBRELLA,576,2009-12-11 11:22:00,3.0,18102.0,United Kingdom,1728.0
491456,85014B,RED/WHITE DOTS RUFFLED UMBRELLA,576,2009-12-11 11:22:00,3.0,18102.0,United Kingdom,1728.0
491456,85014A,BLACK/BLUE DOTS RUFFLED UMBRELLA,576,2009-12-11 11:22:00,3.0,18102.0,United Kingdom,1728.0
491456,15056N,EDWARDIAN PARASOL NATURAL,600,2009-12-11 11:22:00,3.0,18102.0,United Kingdom,1800.0
491456,15056BL,EDWARDIAN PARASOL BLACK,600,2009-12-11 11:22:00,3.0,18102.0,United Kingdom,1800.0
491456,20679,EDWARDIAN PARASOL RED,600,2009-12-11 11:22:00,3.0,18102.0,United Kingdom,1800.0
491587,62018,SOMBRERO ,400,2009-12-11 12:58:00,1.25,13953.0,United Kingdom,500.0
491625,15056BL,EDWARDIAN PARASOL BLACK,60,2009-12-11 14:28:00,4.95,13668.0,United Kingdom,297.0
491661,85123A,WHITE HANGING HEART T-LIGHT HOLDER,128,2009-12-13 11:16:00,2.55,15956.0,United Kingdom,326.4
491713,20747,PICCADILLY TEA SET,36,2009-12-13 15:24:00,12.75,17819.0,United Kingdom,459.0
491757,21731,RED TOADSTOOL LED NIGHT LIGHT,504,2009-12-14 12:18:00,1.4,17949.0,United Kingdom,705.5999999999999
491812,21033,JUMBO BAG CHARLIE AND LOLA TOYS,500,2009-12-14 13:23:00,1.25,13694.0,United Kingdom,625.0
491812,21100,CHARLIE AND LOLA CHARLOTTE BAG,300,2009-12-14 13:23:00,0.85,13694.0,United Kingdom,255.0
491812,70006,LOVE HEART POCKET WARMER,360,2009-12-14 13:23:00,0.79,13694.0,United Kingdom,284.40000000000003
491812,72799A,BLACK PILLAR CANDLE SILVER FLOCK,240,2009-12-14 13:23:00,1.25,13694.0,United Kingdom,300.0
491812,72799B,PURPLE PILLAR CANDLE BLACK FLOCK,240,2009-12-14 13:23:00,1.25,13694.0,United Kingdom,300.0
491812,90057,DIAMANTE RING ASSORTED IN BOX.,240,2009-12-14 13:23:00,1.25,13694.0,United Kingdom,300.0
491826,82001S,VINYL RECORD FRAME SILVER,96,2009-12-14 14:12:00,3.39,16019.0,United Kingdom,325.44
491829,21137,BLACK RECORD COVER FRAME,96,2009-12-14 14:28:00,3.39,16711.0,United Kingdom,325.44
491894,22111,SCOTTIE DOG HOT WATER BOTTLE,72,2009-12-14 15:18:00,4.25,14062.0,United Kingdom,306.0
491953,85040B,SET/4 BLUE FLOWER CANDLES IN BOWL,192,2009-12-14 15:57:00,1.45,15061.0,United Kingdom,278.4
491953,84879,ASSORTED COLOUR BIRD ORNAMENT,160,2009-12-14 15:57:00,1.69,15061.0,United Kingdom,270.4
491953,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,240,2009-12-14 15:57:00,2.55,15061.0,United Kingdom,612.0
491953,22083,PAPER CHAIN KIT RETRO SPOT,120,2009-12-14 15:57:00,2.55,15061.0,United Kingdom,306.0
491986,85099B,JUMBO BAG RED WHITE SPOTTY ,300,2009-12-15 09:51:00,1.65,15838.0,United Kingdom,495.0
491996,21649,ASSORTED TUTTI FRUTTI PHOTO FRAME,144,2009-12-15 10:50:00,2.55,14063.0,United Kingdom,367.2
491996,21832,CHOCOLATE CALCULATOR,200,2009-12-15 10:50:00,1.45,14063.0,United Kingdom,290.0
492005,85099B,JUMBO BAG RED WHITE SPOTTY ,200,2009-12-15 11:25:00,1.65,14607.0,United Kingdom,330.0
492005,79323GR,GREEN CHERRY LIGHTS,48,2009-12-15 11:25:00,5.45,14607.0,United Kingdom,261.6
492005,79323LP,LIGHT PINK CHERRY LIGHTS,48,2009-12-15 11:25:00,5.45,14607.0,United Kingdom,261.6
492005,79323W, WHITE CHERRY LIGHTS,48,2009-12-15 11:25:00,5.45,14607.0,United Kingdom,261.6
492005,79323P,PINK CHERRY LIGHTS,72,2009-12-15 11:25:00,5.45,14607.0,United Kingdom,392.40000000000003
492005,21931,JUMBO STORAGE BAG SUKI,200,2009-12-15 11:25:00,1.65,14607.0,United Kingdom,330.0
492073,84968E,S/16 VINTAGE BLACK CUTLERY,24,2009-12-15 13:11:00,10.95,15413.0,United Kingdom,262.79999999999995
492073,47502,POLKADOT CUTLERY 24 PCS IN TRAY,50,2009-12-15 13:11:00,9.95,15413.0,United Kingdom,497.49999999999994
492098,15056N,EDWARDIAN PARASOL NATURAL,60,2009-12-15 14:05:00,4.95,16749.0,United Kingdom,297.0
492098,15056BL,EDWARDIAN PARASOL BLACK,60,2009-12-15 14:05:00,4.95,16749.0,United Kingdom,297.0
492098,85123A,WHITE HANGING HEART T-LIGHT HOLDER,128,2009-12-15 14:05:00,2.55,16749.0,United Kingdom,326.4
492133,20828,GLITTER BUTTERFLY CLIPS,336,2009-12-15 14:18:00,2.1,16684.0,United Kingdom,705.6
492133,15056BL,EDWARDIAN PARASOL BLACK,120,2009-12-15 14:18:00,4.95,16684.0,United Kingdom,594.0
492185,16014,SMALL CHINESE STYLE SCISSOR,3000,2009-12-15 15:48:00,0.32,16308.0,United Kingdom,960.0
492236,48111,DOOR MAT 3 SMILEY CATS,120,2009-12-15 19:09:00,4.0,18102.0,United Kingdom,480.0
492236,48194,DOORMAT HEARTS,120,2009-12-15 19:09:00,4.0,18102.0,United Kingdom,480.0
492236,21524,SPOTTY  HOME SWEET HOME DOORMAT,120,2009-12-15 19:09:00,4.0,18102.0,United Kingdom,480.0
492236,20685,RED SPOTTY COIR DOORMAT,120,2009-12-15 19:09:00,4.0,18102.0,United Kingdom,480.0
492237,48194,DOORMAT HEARTS,120,2009-12-15 19:11:00,4.0,18102.0,United Kingdom,480.0
492237,48195,DOOR MAT GREEN PAISLEY ,120,2009-12-15 19:11:00,4.0,18102.0,United Kingdom,480.0
492237,48197,DOOR MAT BIRD ON THE WIRE,150,2009-12-15 19:11:00,4.0,18102.0,United Kingdom,600.0
492237,48129,DOOR MAT TOPIARY,120,2009-12-15 19:11:00,4.0,18102.0,United Kingdom,480.0
492237,48187,DOOR MAT NEW ENGLAND,120,2009-12-15 19:11:00,4.0,18102.0,United Kingdom,480.0
492237,48116,DOOR MAT MULTICOLOUR STRIPE,120,2009-12-15 19:11:00,4.0,18102.0,United Kingdom,480.0
492237,48185,DOOR MAT FAIRY CAKE,120,2009-12-15 19:11:00,4.0,18102.0,United Kingdom,480.0
492321,84879,ASSORTED COLOUR BIRD ORNAMENT,208,2009-12-16 12:17:00,1.69,15061.0,United Kingdom,351.52
492321,22320,BIRDS MOBILE VINTAGE DESIGN,48,2009-12-16 12:17:00,5.45,15061.0,United Kingdom,261.6
492322,84406B,CREAM CUPID HEARTS COAT HANGER,128,2009-12-16 12:24:00,2.75,13694.0,United Kingdom,352.0
492358,21041,RED SPOTTY OVEN GLOVE DOUBLE,120,2009-12-16 13:22:00,2.55,16779.0,United Kingdom,306.0
492410,85174,S/4 CACTI CANDLES,64,2009-12-16 16:10:00,4.25,13941.0,United Kingdom,272.0
492415,85184D,S/4 BLUE ROUND DECOUPAGE BOXES,192,2009-12-16 17:06:00,2.55,17428.0,United Kingdom,489.59999999999997
492439,84997B,RED 3 PIECE MINI DOTS CUTLERY SET,144,2009-12-17 10:39:00,3.39,12557.0,Spain,488.16
492439,84997D,PINK 3 PIECE MINI DOTS CUTLERY SET,216,2009-12-17 10:39:00,3.39,12557.0,Spain,732.24
492439,84997C,BLUE 3 PIECE MINI DOTS CUTLERY SET,216,2009-12-17 10:39:00,3.39,12557.0,Spain,732.24
492650,M,Manual,1,2009-12-17 17:43:00,803.25,14911.0,EIRE,803.25
492710,21710,FOLDING UMBRELLA  PINK/WHITE  SPOT,168,2009-12-18 09:58:00,1.95,17638.0,United Kingdom,327.59999999999997
492710,21706,"FOLDING UMBRELLA , RED/WHITE SPOT",144,2009-12-18 09:58:00,1.95,17638.0,United Kingdom,280.8
492720,37503,TEA TIME CAKE STAND IN GIFT BOX,36,2009-12-18 10:50:00,9.95,16772.0,United Kingdom,358.2
492724,22236,CAKE STAND 3 TIER MAGIC GARDEN,24,2009-12-18 10:59:00,10.95,14646.0,Netherlands,262.79999999999995
492724,22243,"HOOK, 5 HANGER ,MAGIC TOADSTOOL RED",192,2009-12-18 10:59:00,1.45,14646.0,Netherlands,278.4
492724,22285,"DECORATION HEN ON NEST, HANGING",288,2009-12-18 10:59:00,1.45,14646.0,Netherlands,417.59999999999997
492724,22292,"SPRING DEC , HANGING CHICK  YELLOW",288,2009-12-18 10:59:00,1.25,14646.0,Netherlands,360.0
492724,35915B,BLUE KNITTED HEN ,288,2009-12-18 10:59:00,1.27,14646.0,Netherlands,365.76
492724,35915A,CREAM KNITTED HEN,288,2009-12-18 10:59:00,1.27,14646.0,Netherlands,365.76
492724,35915C,PEACH KNITTED HEN ,288,2009-12-18 10:59:00,1.27,14646.0,Netherlands,365.76
492724,21485,RED SPOT HEART HOT WATER BOTTLE,72,2009-12-18 10:59:00,4.25,14646.0,Netherlands,306.0
492724,21390,FILIGRIS HEART WITH BUTTERFLY,288,2009-12-18 10:59:00,1.06,14646.0,Netherlands,305.28000000000003
492724,21563,RED HEART SHAPE LOVE BUCKET ,120,2009-12-18 10:59:00,2.55,14646.0,Netherlands,306.0
492724,84748,FOLK FELT HANGING MULTICOL GARLAND,96,2009-12-18 10:59:00,2.95,14646.0,Netherlands,283.20000000000005
492727,37503,TEA TIME CAKE STAND IN GIFT BOX,60,2009-12-18 11:10:00,9.45,16029.0,United Kingdom,567.0
492740,84968E,S/16 VINTAGE BLACK CUTLERY,48,2009-12-18 12:27:00,10.95,14063.0,United Kingdom,525.5999999999999
492740,84968A,S/16 VINTAGE ROSE CUTLERY,24,2009-12-18 12:27:00,10.95,14063.0,United Kingdom,262.79999999999995
492740,84968C,S/16 VINTAGE PISTACHIO CUTLERY,48,2009-12-18 12:27:00,10.95,14063.0,United Kingdom,525.5999999999999
492740,84968D,S/16 VINTAGE RED CUTLERY,48,2009-12-18 12:27:00,10.95,14063.0,United Kingdom,525.5999999999999
492842,51008,AFGHAN SLIPPER SOCK PAIR,200,2009-12-21 11:31:00,2.95,12748.0,United Kingdom,590.0
492943,82552,WASHROOM METAL SIGN,288,2009-12-21 13:04:00,1.06,14156.0,EIRE,305.28000000000003
492943,79323LP,LIGHT PINK CHERRY LIGHTS,48,2009-12-21 13:04:00,5.45,14156.0,EIRE,261.6
492943,21216,"SET 3 RED SPOT TIN TEA,COFFEE,SUGAR",72,2009-12-21 13:04:00,4.25,14156.0,EIRE,306.0
492943,21903,MAN FLU METAL SIGN,288,2009-12-21 13:04:00,1.85,14156.0,EIRE,532.8000000000001
492943,79323P,PINK CHERRY LIGHTS,48,2009-12-21 13:04:00,5.45,14156.0,EIRE,261.6
492943,79323W, WHITE CHERRY LIGHTS,48,2009-12-21 13:04:00,5.45,14156.0,EIRE,261.6
492943,21164,HOME SWEET HOME METAL SIGN ,288,2009-12-21 13:04:00,2.55,14156.0,EIRE,734.4
492943,21908,CHOCOLATE THIS WAY METAL SIGN,288,2009-12-21 13:04:00,1.85,14156.0,EIRE,532.8000000000001
492943,21181,PLEASE ONE PERSON  METAL SIGN,288,2009-12-21 13:04:00,1.85,14156.0,EIRE,532.8000000000001
493071,22114,HOT WATER BOTTLE TEA AND SYMPATHY,96,2009-12-22 09:35:00,3.45,18092.0,United Kingdom,331.20000000000005
493257,21366,MIRRORED WALL ART PHOTO FRAMES,96,2009-12-22 14:15:00,3.75,14063.0,United Kingdom,360.0
493258,21908,CHOCOLATE THIS WAY METAL SIGN,336,2009-12-22 14:19:00,1.49,18102.0,United Kingdom,500.64
493258,21175,GIN + TONIC DIET METAL SIGN,336,2009-12-22 14:19:00,1.49,18102.0,United Kingdom,500.64
493258,84839,SWEETHEART KEY CABINET,200,2009-12-22 14:19:00,3.38,18102.0,United Kingdom,676.0
493258,85066,CREAM SWEETHEART MINI CHEST,112,2009-12-22 14:19:00,7.93,18102.0,United Kingdom,888.16
493258,21735,TWO DOOR CURIO CABINET,42,2009-12-22 14:19:00,7.3,18102.0,United Kingdom,306.59999999999997
493409,20747,PICCADILLY TEA SET,48,2009-12-23 16:58:00,12.75,17819.0,United Kingdom,612.0
493434,21355,TOAST ITS - I LOVE YOU ,288,2010-01-04 12:54:00,1.05,13798.0,United Kingdom,302.40000000000003
493436,72799F,IVORY PILLAR CANDLE GOLD FLOCK,480,2010-01-04 13:03:00,1.25,13694.0,United Kingdom,600.0
493436,72799C,PINK PILLAR CANDLE SILVER FLOCK,240,2010-01-04 13:03:00,1.25,13694.0,United Kingdom,300.0
493436,72799E,IVORY PILLAR CANDLE SILVER FLOCK,240,2010-01-04 13:03:00,1.25,13694.0,United Kingdom,300.0
493436,72800F,4 IVORY DINNER CANDLES GOLD FLOCK,468,2010-01-04 13:03:00,0.79,13694.0,United Kingdom,369.72
493436,72799A,BLACK PILLAR CANDLE SILVER FLOCK,240,2010-01-04 13:03:00,1.25,13694.0,United Kingdom,300.0
493437,85132A,CHARLIE + LOLA BISCUITS TINS,96,2010-01-04 13:10:00,3.95,13694.0,United Kingdom,379.20000000000005
493437,85132B,CHARLIE AND LOLA TABLE TINS,96,2010-01-04 13:10:00,3.95,13694.0,United Kingdom,379.20000000000005
493439,85183A,CHARLIE & LOLA WASTEPAPER BIN BLUE,288,2010-01-04 13:25:00,1.25,13694.0,United Kingdom,360.0
493439,85183B,CHARLIE & LOLA WASTEPAPER BIN FLORA,288,2010-01-04 13:25:00,1.25,13694.0,United Kingdom,360.0
493537,85099B,JUMBO BAG RED WHITE SPOTTY ,300,2010-01-04 15:33:00,1.65,16029.0,United Kingdom,495.0
493613,84050,PINK HEART SHAPE EGG FRYING PAN,408,2010-01-05 11:31:00,1.25,17949.0,United Kingdom,510.0
493702,48138,DOOR MAT UNION FLAG,200,2010-01-05 14:07:00,4.0,18102.0,United Kingdom,800.0
493702,21955,UNION JACK GUNS & ROSES  DOORMAT,200,2010-01-05 14:07:00,4.0,18102.0,United Kingdom,800.0
493703,48173C,DOOR MAT BLACK FLOCK ,120,2010-01-05 14:08:00,4.0,18102.0,United Kingdom,480.0
493703,48188,DOOR MAT WELCOME PUPPIES,120,2010-01-05 14:08:00,4.0,18102.0,United Kingdom,480.0
493703,21955,UNION JACK GUNS & ROSES  DOORMAT,150,2010-01-05 14:08:00,4.0,18102.0,United Kingdom,600.0
493762,71459,HANGING JAM JAR T-LIGHT HOLDER,576,2010-01-06 15:37:00,0.72,17941.0,United Kingdom,414.71999999999997
493765,21354,TOAST ITS - BEST MUM,288,2010-01-07 09:34:00,1.05,14828.0,United Kingdom,302.40000000000003
